Temps(s),Température air (°C),Température point de rosée (°C),Nature des précipitations,Vitesse du vent (m/s),Rayonnement global (W/m2),Rayonnement atmosphérique (W/m2)
1292400.00,12.75,8.44,0.00,2.15,0.00,359.91
1296000.00,12.35,8.47,0.00,1.97,0.00,347.73
1299600.00,12.21,8.27,0.00,1.94,0.00,348.18
1303200.00,11.92,8.05,0.00,1.64,0.00,314.91
1306800.00,10.68,7.43,0.00,0.10,0.00,270.45
1310400.00,8.83,6.53,0.00,0.00,0.00,256.18
1314000.00,7.41,5.57,0.00,0.00,0.00,253.18
1317600.00,5.89,4.30,0.00,0.00,0.00,251.18
1321200.00,4.86,3.41,0.00,0.00,0.00,249.64
1324800.00,4.52,3.13,0.00,0.00,12.91,249.09
1328400.00,6.75,5.13,0.00,0.00,139.55,248.55
1332000.00,10.40,7.48,0.00,0.00,332.64,255.73
1335600.00,13.36,8.38,0.00,0.00,513.64,265.27
1339200.00,15.78,8.67,0.00,0.10,676.73,276.18
1342800.00,18.19,7.77,0.00,0.78,848.18,288.91
1346400.00,19.52,6.54,0.00,0.81,922.09,304.91
1350000.00,19.48,6.85,0.00,1.11,537.91,329.82
1353600.00,20.23,6.91,0.00,0.96,507.55,345.82
1357200.00,19.72,6.80,0.00,0.68,229.09,363.64
1360800.00,20.29,6.72,0.00,1.11,335.82,351.45
1364400.00,20.10,8.78,0.09,3.26,585.91,319.91
1368000.00,19.54,9.43,0.00,3.21,369.18,315.00
1371600.00,18.82,9.64,0.09,3.03,232.45,313.00
1375200.00,17.64,9.79,0.00,2.55,75.18,305.45
1378800.00,16.21,10.13,0.09,1.89,4.09,295.00
1382400.00,15.24,9.78,0.00,0.58,0.00,316.09
1386000.00,14.79,9.50,0.00,0.10,0.00,307.00
1389600.00,14.19,10.71,0.00,0.61,0.00,309.91
1393200.00,14.09,11.26,0.00,0.00,0.00,364.82
1396800.00,13.72,11.10,0.00,0.00,0.00,334.18
1400400.00,13.56,11.18,0.00,0.28,0.00,364.82
1404000.00,13.43,11.16,0.00,0.40,0.00,364.27
1407600.00,13.39,11.21,0.00,0.00,0.00,360.64
1411200.00,13.02,10.66,0.00,0.30,11.18,304.73
1414800.00,13.47,10.46,0.00,1.29,126.00,287.91
1418400.00,14.48,10.46,0.00,1.64,323.64,314.82
1422000.00,15.16,10.25,0.00,0.91,296.09,356.64
1425600.00,16.44,10.33,0.18,1.11,621.82,305.91
1429200.00,18.20,10.59,0.00,1.16,808.55,313.00
1432800.00,19.12,10.12,0.82,1.72,652.09,340.86
1436400.00,16.67,10.76,0.64,1.24,173.64,356.64
1440000.00,17.03,10.26,0.00,0.20,441.82,331.73
1443600.00,16.06,11.26,0.64,1.46,206.82,365.64
1447200.00,13.76,11.77,0.55,0.48,141.27,390.82
1450800.00,15.96,12.78,0.00,0.00,560.73,410.09
1454400.00,16.83,11.73,0.91,0.40,149.09,373.45
1458000.00,15.41,11.31,0.64,0.20,57.82,358.73
1461600.00,14.48,10.62,0.00,0.00,66.64,320.45
1465200.00,13.45,10.70,0.00,0.00,1.82,311.45
1468800.00,12.61,10.55,0.18,0.00,0.00,312.64
1472400.00,11.32,9.68,0.00,0.00,0.00,278.27
1476000.00,10.48,9.10,0.00,0.00,0.00,327.09
1479600.00,10.88,9.63,0.00,0.00,0.00,303.45
1483200.00,10.76,9.56,0.00,0.00,0.00,313.00
1486800.00,10.63,9.47,0.36,0.10,0.00,294.82
1490400.00,11.08,9.27,0.91,0.58,0.00,339.91
1494000.00,10.58,6.83,0.91,0.51,0.00,338.18
1497600.00,10.07,7.08,0.00,1.39,0.36,343.91
1501200.00,9.94,6.54,0.00,1.24,37.45,326.18
1504800.00,10.26,6.82,0.00,0.98,100.91,323.45
1508400.00,10.92,7.15,0.00,0.30,171.18,325.82
1512000.00,11.16,6.83,0.00,0.78,177.00,331.82
1515600.00,11.99,7.42,0.00,0.86,310.27,336.36
1519200.00,12.53,6.47,0.00,1.06,256.91,339.27
1522800.00,12.67,6.75,0.00,0.51,274.82,338.82
1526400.00,13.01,6.28,0.09,1.04,399.36,330.73
1530000.00,13.09,5.20,0.00,0.51,194.45,334.73
1533600.00,12.47,5.54,0.00,0.88,117.27,339.45
1537200.00,11.49,6.65,0.09,0.88,124.27,347.09
1540800.00,10.86,6.55,0.55,0.10,81.55,345.91
1544400.00,9.96,6.75,0.27,0.40,41.82,356.27
1548000.00,9.59,7.00,0.00,0.83,6.55,348.45
1551600.00,9.03,6.73,0.00,0.28,0.00,341.82
1555200.00,8.84,6.88,0.00,0.00,0.00,330.45
1558800.00,8.67,6.93,0.00,0.00,0.00,329.09
1562400.00,8.51,6.96,0.55,0.00,0.00,347.73
1566000.00,8.35,6.98,0.09,0.10,0.00,351.00
1569600.00,8.16,6.87,0.00,1.14,0.00,349.55
1573200.00,8.19,6.69,0.00,1.04,0.00,352.27
1576800.00,8.30,6.56,0.00,1.16,0.00,341.18
1580400.00,8.34,6.64,0.00,0.61,0.00,347.27
1584000.00,8.63,6.82,0.00,0.71,3.27,347.09
1587600.00,8.94,6.98,0.00,0.96,13.82,347.91
1591200.00,9.28,7.18,0.00,1.11,40.91,351.55
1594800.00,9.69,7.74,0.00,0.76,61.64,354.55
1598400.00,10.04,8.01,0.00,1.29,46.00,356.09
1602000.00,10.22,8.34,0.00,1.21,78.00,358.09
1605600.00,10.53,8.68,0.36,1.04,74.82,362.00
1609200.00,11.19,9.32,0.18,1.39,151.00,380.64
1612800.00,11.80,9.44,0.00,1.49,112.45,380.55
1616400.00,12.11,9.56,0.00,1.29,85.09,371.73
1620000.00,11.72,9.63,0.00,1.87,51.55,366.09
1623600.00,11.77,10.05,0.27,1.64,104.82,368.91
1627200.00,12.34,10.34,0.00,1.97,124.00,366.09
1630800.00,12.47,10.52,0.00,2.07,71.27,357.18
1634400.00,12.45,10.78,0.00,0.96,9.18,361.45
1638000.00,12.60,11.08,0.00,0.76,0.00,368.64
1641600.00,12.74,11.31,0.09,0.00,0.00,365.36
1645200.00,12.88,11.37,0.00,0.00,0.00,361.45
1648800.00,13.00,11.37,0.55,0.00,0.00,373.18
1652400.00,12.68,11.30,0.91,0.00,0.00,384.73
1656000.00,12.43,11.16,0.91,0.00,0.00,385.91
1659600.00,12.33,11.24,1.00,0.00,0.00,385.27
